title,xmlUrl,htmlUrl
physics updates on arXiv.org,https://arxiv.org/rss/physics,https://arxiv.org/
Science,https://www.npr.org/rss/rss.php?id=1007,https://www.npr.org/templates/story/story.php?storyId=1007
cond-mat updates on arXiv.org,https://arxiv.org/rss/cond-mat,https://arxiv.org/
ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),https://feeds.feedburner.com/acs/aamick,https://pubs.acs.org/
Nature Nanotechnology - Issue - nature.com science feeds,http://www.nature.com/nnano/current_issue/rss/,http://www.nature.com/nnano/current_issue/
"Grätzel, Michael[Author]",https://pubmed.ncbi.nlm.nih.gov/rss/search/1fyD0OGrQHlF-vH9gdBaTxUFUX9PBS3pwjF-ttY4nVML-vVsWQ/?limit=100&utm_campaign=pubmed-2&fc=20210904103347,https://pubmed.ncbi.nlm.nih.gov/rss-feed/?feed_id=1fyD0OGrQHlF-vH9gdBaTxUFUX9PBS3pwjF-ttY4nVML-vVsWQ&utm_medium=rss&utm_source=Inoreader&utm_campaign=pubmed-2&utm_content=1fyD0OGrQHlF-vH9gdBaTxUFUX9PBS3pwjF-ttY4nVML-vVsWQ&ff=20210904103354&fc=20210904103347&v=2.14.5
Preprints,https://www.researchsquare.com/rss.xml,https://www.researchsquare.com/browse
Matter,https://rss.sciencedirect.com/publication/science/25902385,https://www.sciencedirect.com/journal/matter
Science: Current Issue,https://www.sciencemag.org/rss/current.xml,https://www.sciencemag.org/
"Jen, Alex K. Y.[Author]",https://pubmed.ncbi.nlm.nih.gov/rss/search/1LK5GZMdRGzCtjq4jH7wIpTMONstz9b4VxXjIx9uxq7wcODI3g/?limit=100&utm_campaign=pubmed-2&fc=20210904103419,https://pubmed.ncbi.nlm.nih.gov/rss-feed/?feed_id=1LK5GZMdRGzCtjq4jH7wIpTMONstz9b4VxXjIx9uxq7wcODI3g&v=2.14.5&utm_content=1LK5GZMdRGzCtjq4jH7wIpTMONstz9b4VxXjIx9uxq7wcODI3g&utm_source=Inoreader&utm_campaign=pubmed-2&ff=20210904103426&utm_medium=rss&fc=20210904103419
"Sargent, Edward H.[Author]",https://pubmed.ncbi.nlm.nih.gov/rss/search/1bMp6-Tj_k-Tp3TcfozNc75KoQFMmnRG9NDV4pMoMPDx4YqQkV/?limit=100&utm_campaign=pubmed-2&fc=20210904103225,https://pubmed.ncbi.nlm.nih.gov/rss-feed/?feed_id=1bMp6-Tj_k-Tp3TcfozNc75KoQFMmnRG9NDV4pMoMPDx4YqQkV&ff=20210904103234&utm_campaign=pubmed-2&utm_source=Inoreader&v=2.14.5&fc=20210904103225&utm_content=1bMp6-Tj_k-Tp3TcfozNc75KoQFMmnRG9NDV4pMoMPDx4YqQkV&utm_medium=rss
"Albrecht, Steve[Author]",https://pubmed.ncbi.nlm.nih.gov/rss/search/1L37KAMf2b_e4UD2_Fd1s1e9_FWTxLeXV5LjYWo_iA9o-7DINF/?limit=100&utm_campaign=pubmed-2&fc=20210904103151,https://pubmed.ncbi.nlm.nih.gov/rss-feed/?feed_id=1L37KAMf2b_e4UD2_Fd1s1e9_FWTxLeXV5LjYWo_iA9o-7DINF&fc=20210904103151&utm_medium=rss&utm_source=Inoreader&utm_campaign=pubmed-2&ff=20210904103159&utm_content=1L37KAMf2b_e4UD2_Fd1s1e9_FWTxLeXV5LjYWo_iA9o-7DINF&v=2.14.5
"(Kim, Jin Young[Author]) AND (perovskite[TitleAbstract])",https://pubmed.ncbi.nlm.nih.gov/rss/search/1DeUIcPgNLDNQS_XZTJqLHzHkF3ai3ierqU2Kki-IOX3iq3MCg/?limit=100&utm_campaign=pubmed-2&fc=20210412053933,https://pubmed.ncbi.nlm.nih.gov/rss-feed/?feed_id=1DeUIcPgNLDNQS_XZTJqLHzHkF3ai3ierqU2Kki-IOX3iq3MCg&fc=20210412053933&utm_source=Inoreader&utm_campaign=pubmed-2&utm_medium=rss&utm_content=1DeUIcPgNLDNQS_XZTJqLHzHkF3ai3ierqU2Kki-IOX3iq3MCg&ff=20210412053937&v=2.14.3
